Country,Year,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4
Argentina,1989,31100.0,141000.0,119000.0
Argentina,1990,32900.0,137000.0,113000.0
Argentina,1991,32700.0,130000.0,116000.0
Argentina,1992,33400.0,132000.0,119000.0
Argentina,1993,32800.0,137000.0,122000.0
Argentina,1994,34200.0,141000.0,131000.0
Argentina,1995,34100.0,128000.0,128000.0
Argentina,1996,35100.0,134000.0,144000.0
Argentina,1997,34500.0,123000.0,145000.0
Argentina,1998,36200.0,116000.0,147000.0
Argentina,1999,37200.0,118000.0,150000.0
Argentina,2000,37500.0,118000.0,148000.0
Argentina,2001,40000.0,118000.0,139000.0
Argentina,2002,41800.0,122000.0,131000.0
Argentina,2003,45700.0,129000.0,144000.0
Argentina,2004,46100.0,131000.0,161000.0
Argentina,2005,47600.0,131000.0,165000.0
Argentina,2006,50000.0,133000.0,176000.0
Argentina,2007,52400.0,132000.0,183000.0
Argentina,2008,51000.0,130000.0,196000.0
Argentina,2009,46100.0,124000.0,186000.0
Argentina,2010,50700.0,116000.0,194000.0
Argentina,2011,49000.0,112000.0,199000.0
Argentina,2012,47300.0,114000.0,197000.0
Armenia,1970,516.0,1640.0,10900.0
Armenia,1971,544.0,1700.0,10900.0
Armenia,1972,568.0,1750.0,11700.0
Armenia,1973,596.0,1800.0,12800.0
Armenia,1974,625.0,1850.0,13900.0
Armenia,1975,660.0,1890.0,15200.0
Armenia,1976,662.0,1910.0,15700.0
Armenia,1977,680.0,1910.0,16300.0
Armenia,1978,695.0,1940.0,16900.0
Armenia,1979,707.0,1960.0,17600.0
Armenia,1980,732.0,1970.0,18700.0
Armenia,1981,735.0,1950.0,19100.0
Armenia,1982,745.0,1950.0,19600.0
Armenia,1983,773.0,1970.0,19700.0
Armenia,1984,785.0,2000.0,19800.0
Armenia,1985,801.0,2020.0,20100.0
Armenia,1986,806.0,2020.0,20200.0
Armenia,1987,817.0,2040.0,20400.0
Armenia,1988,803.0,2240.0,20500.0
Armenia,1989,777.0,2290.0,20100.0
Armenia,1990,771.0,2260.0,20700.0
Armenia,1991,688.0,2090.0,21600.0
Armenia,1992,591.0,1970.0,11000.0
Armenia,1993,508.0,1720.0,5180.0
Armenia,1994,434.0,1730.0,2880.0
Armenia,1995,422.0,1680.0,3620.0
Armenia,1996,432.0,1700.0,2680.0
Armenia,1997,423.0,1690.0,3430.0
Armenia,1998,416.0,1620.0,3560.0
Armenia,1999,399.0,1640.0,3200.0
Armenia,2000,410.0,1640.0,3660.0
Armenia,2001,416.0,1650.0,3730.0
Armenia,2002,426.0,1720.0,3200.0
Armenia,2003,419.0,1800.0,3570.0
Armenia,2004,532.0,1880.0,3830.0
Armenia,2005,534.0,1930.0,4540.0
Armenia,2006,576.0,1980.0,4580.0
Armenia,2007,729.0,2010.0,5290.0
Armenia,2008,718.0,2030.0,5790.0
Armenia,2009,720.0,1930.0,4660.0
Armenia,2010,709.0,1910.0,4230.0
Armenia,2011,722.0,1920.0,4830.0
Armenia,2012,701.0,2000.0,4820.0
Australia,1970,36700.0,105000.0,161000.0
Australia,1971,38100.0,108000.0,162000.0
Australia,1972,38500.0,113000.0,168000.0
Australia,1973,36800.0,112000.0,178000.0
Australia,1974,39000.0,115000.0,187000.0
Australia,1975,40500.0,116000.0,194000.0
Australia,1976,40800.0,116000.0,197000.0
Australia,1977,37900.0,112000.0,210000.0
Australia,1978,37000.0,107000.0,206000.0
Australia,1979,36800.0,106000.0,212000.0
Australia,1980,36300.0,104000.0,222000.0
Australia,1981,35900.0,105000.0,223000.0
Australia,1982,35600.0,106000.0,230000.0
Australia,1983,34900.0,110000.0,218000.0
Australia,1984,35900.0,111000.0,224000.0
Australia,1985,36700.0,112000.0,238000.0
Australia,1986,37400.0,114000.0,239000.0
Australia,1987,36800.0,114000.0,250000.0
Australia,1988,38200.0,114000.0,259000.0
Australia,1989,40000.0,121000.0,274000.0
Australia,1990,42700.0,124000.0,278000.0
Australia,1991,42200.0,125000.0,280000.0
Australia,1992,41400.0,123000.0,283000.0
Australia,1993,41800.0,121000.0,287000.0
Australia,1994,41900.0,120000.0,293000.0
Australia,1995,41500.0,119000.0,303000.0
Australia,1996,44500.0,120000.0,313000.0
Australia,1997,44500.0,122000.0,323000.0
Australia,1998,46000.0,122000.0,343000.0
Australia,1999,46700.0,122000.0,352000.0
Australia,2000,47700.0,126000.0,358000.0
Australia,2001,47800.0,128000.0,371000.0
Australia,2002,45900.0,127000.0,382000.0
Australia,2003,45900.0,123000.0,391000.0
Australia,2004,47900.0,125000.0,407000.0
Australia,2005,48800.0,127000.0,412000.0
Australia,2006,46000.0,125000.0,408000.0
Australia,2007,45400.0,125000.0,428000.0
Australia,2008,45200.0,123000.0,431000.0
Australia,2009,44800.0,122000.0,437000.0
Australia,2010,43900.0,121000.0,421000.0
Australia,2011,46600.0,123000.0,429000.0
Australia,2012,48100.0,125000.0,429000.0
Austria,1970,5350.0,11900.0,54100.0
Austria,1971,5580.0,12100.0,56300.0
Austria,1972,5650.0,12100.0,58600.0
Austria,1973,5920.0,12200.0,61900.0
Austria,1974,6040.0,12300.0,59500.0
Austria,1975,5900.0,12300.0,57200.0
Austria,1976,6070.0,12300.0,62400.0
Austria,1977,6090.0,12400.0,59700.0
Austria,1978,6140.0,12800.0,61800.0
Austria,1979,6220.0,13000.0,64200.0
Austria,1980,6210.0,13100.0,62300.0
Austria,1981,6030.0,13000.0,59100.0
Austria,1982,5780.0,13200.0,56900.0
Austria,1983,5690.0,13200.0,56900.0
Austria,1984,5740.0,13400.0,58800.0
Austria,1985,5440.0,13500.0,60200.0
Austria,1986,5220.0,13500.0,59000.0
Austria,1987,4980.0,13300.0,59600.0
Austria,1988,5180.0,13400.0,58200.0
Austria,1989,4780.0,13100.0,58200.0
Austria,1990,4760.0,13000.0,62800.0
Austria,1991,4780.0,13000.0,66500.0
Austria,1992,4620.0,12800.0,61400.0
Austria,1993,4660.0,12800.0,61500.0
Austria,1994,4560.0,12300.0,62000.0
Austria,1995,4550.0,12100.0,65100.0
Austria,1996,4640.0,11900.0,69000.0
Austria,1997,4570.0,11600.0,68600.0
Austria,1998,4610.0,11500.0,69200.0
Austria,1999,4570.0,11400.0,67200.0
Austria,2000,4480.0,11300.0,67900.0
Austria,2001,4530.0,11100.0,72600.0
Austria,2002,4430.0,11200.0,74500.0
Austria,2003,4460.0,11100.0,79800.0
Austria,2004,3890.0,10800.0,80800.0
Austria,2005,3850.0,10700.0,82000.0
Austria,2006,3800.0,10600.0,79700.0
Austria,2007,3740.0,10500.0,77500.0
Austria,2008,3800.0,10600.0,78200.0
Austria,2009,3700.0,10300.0,70300.0
Austria,2010,3840.0,10500.0,76900.0
Austria,2011,3840.0,10300.0,76300.0
Austria,2012,3770.0,10100.0,75400.0
Azerbaijan,1970,1810.0,18500.0,35000.0
Azerbaijan,1971,1900.0,19100.0,35100.0
Azerbaijan,1972,1960.0,18800.0,37400.0
Azerbaijan,1973,2080.0,21300.0,40900.0
Azerbaijan,1974,2160.0,22900.0,44200.0
Azerbaijan,1975,2280.0,24900.0,49000.0
Azerbaijan,1976,2280.0,27000.0,51500.0
Azerbaijan,1977,2350.0,28700.0,54100.0
Azerbaijan,1978,2380.0,30500.0,56900.0
Azerbaijan,1979,2400.0,20500.0,56900.0
Azerbaijan,1980,2470.0,20800.0,60000.0
Azerbaijan,1981,2480.0,20800.0,61800.0
Azerbaijan,1982,2510.0,21000.0,63200.0
Azerbaijan,1983,2620.0,21100.0,65000.0
Azerbaijan,1984,2680.0,21200.0,66600.0
Azerbaijan,1985,2740.0,22300.0,68000.0
Azerbaijan,1986,2800.0,21000.0,70200.0
Azerbaijan,1987,2850.0,20400.0,72500.0
Azerbaijan,1988,2830.0,32500.0,76400.0
Azerbaijan,1989,2760.0,32100.0,76600.0
Azerbaijan,1990,2570.0,24800.0,56800.0
Azerbaijan,1991,2380.0,23200.0,55300.0
Azerbaijan,1992,2200.0,18600.0,44100.0
Azerbaijan,1993,1910.0,8980.0,36900.0
Azerbaijan,1994,1790.0,8490.0,32900.0
Azerbaijan,1995,1720.0,8460.0,32100.0
Azerbaijan,1996,1650.0,8410.0,26900.0
Azerbaijan,1997,1710.0,8640.0,25600.0
Azerbaijan,1998,1710.0,9050.0,25600.0
Azerbaijan,1999,1800.0,9820.0,26500.0
Azerbaijan,2000,1840.0,9890.0,28100.0
Azerbaijan,2001,1970.0,10200.0,26700.0
Azerbaijan,2002,2080.0,10200.0,26500.0
Azerbaijan,2003,2220.0,10600.0,29000.0
Azerbaijan,2004,2240.0,10800.0,28700.0
Azerbaijan,2005,2340.0,11800.0,30500.0
Azerbaijan,2006,2310.0,12900.0,30900.0
Azerbaijan,2007,2370.0,14800.0,28100.0
Azerbaijan,2008,2460.0,18400.0,31000.0
Azerbaijan,2009,2530.0,17900.0,25900.0
Azerbaijan,2010,2510.0,17900.0,24800.0
Azerbaijan,2011,2580.0,18100.0,28000.0
Azerbaijan,2012,2630.0,18600.0,29400.0
Bahamas,1970,37.8,107.0,2770.0
Bahamas,1971,37.9,116.0,2820.0
Bahamas,1972,40.1,121.0,3320.0
Bahamas,1973,44.1,130.0,3670.0
Bahamas,1974,36.7,122.0,2890.0
Bahamas,1975,43.1,125.0,3530.0
Bahamas,1976,43.7,121.0,2980.0
Bahamas,1977,46.1,137.0,3290.0
Bahamas,1978,48.6,132.0,3530.0
Bahamas,1979,45.9,136.0,3310.0
Bahamas,1980,46.6,142.0,3120.0
Bahamas,1981,50.2,149.0,3180.0
Bahamas,1982,51.0,154.0,2620.0
Bahamas,1983,41.3,143.0,2040.0
Bahamas,1984,45.7,144.0,2120.0
Bahamas,1985,40.8,133.0,1890.0
Bahamas,1986,40.7,133.0,1990.0
Bahamas,1987,43.6,135.0,2170.0
Bahamas,1988,47.6,139.0,2300.0
Bahamas,1989,50.2,144.0,2520.0
Bahamas,1990,51.1,147.0,2580.0
Bahamas,1991,50.9,147.0,2510.0
Bahamas,1992,50.4,146.0,2200.0
Bahamas,1993,48.5,147.0,2100.0
Bahamas,1994,51.6,151.0,2270.0
Bahamas,1995,61.8,156.0,2600.0
Bahamas,1996,70.4,164.0,2930.0
Bahamas,1997,69.0,164.0,2830.0
Bahamas,1998,78.6,165.0,2700.0
Bahamas,1999,74.8,165.0,2530.0
Bahamas,2000,67.4,171.0,2370.0
Bahamas,2001,70.0,172.0,2470.0
Bahamas,2002,69.7,174.0,2480.0
Bahamas,2003,76.3,180.0,2800.0
Bahamas,2004,78.1,184.0,2830.0
Bahamas,2005,79.9,187.0,2780.0
Bahamas,2006,82.5,194.0,2860.0
Bahamas,2007,88.8,196.0,3070.0
Bahamas,2008,92.1,197.0,3150.0
Bahamas,2009,94.0,195.0,3190.0
Bahamas,2010,101.0,191.0,3450.0
Bahamas,2011,110.0,212.0,3740.0
Bahamas,2012,110.0,215.0,3750.0
Bahrain,1970,23.9,977.0,2960.0
Bahrain,1971,24.5,983.0,2980.0
Bahrain,1972,27.0,1010.0,3570.0
Bahrain,1973,30.8,1180.0,4510.0
Bahrain,1974,33.9,1320.0,5320.0
Bahrain,1975,38.1,1260.0,5490.0
Bahrain,1976,42.7,1330.0,5960.0
Bahrain,1977,48.2,1490.0,6570.0
Bahrain,1978,51.8,1530.0,6960.0
Bahrain,1979,54.2,1630.0,7430.0
Bahrain,1980,55.8,1640.0,7530.0
Bahrain,1981,61.9,1750.0,8060.0
Bahrain,1982,64.3,1690.0,8500.0
Bahrain,1983,69.6,1700.0,8830.0
Bahrain,1984,71.0,1790.0,9090.0
Bahrain,1985,76.0,2050.0,10800.0
Bahrain,1986,89.9,2030.0,12700.0
Bahrain,1987,84.0,2070.0,12300.0
Bahrain,1988,88.5,2170.0,12600.0
Bahrain,1989,91.8,2250.0,12500.0
Bahrain,1990,95.2,2320.0,12900.0
Bahrain,1991,95.3,2120.0,12700.0
Bahrain,1992,101.0,2320.0,13200.0
Bahrain,1993,101.0,2470.0,13100.0
Bahrain,1994,103.0,2480.0,13200.0
Bahrain,1995,104.0,2500.0,13300.0
Bahrain,1996,107.0,2590.0,13900.0
Bahrain,1997,109.0,2700.0,14700.0
Bahrain,1998,122.0,2820.0,15500.0
Bahrain,1999,116.0,2880.0,15700.0
Bahrain,2000,120.0,2920.0,15900.0
Bahrain,2001,123.0,3020.0,16600.0
Bahrain,2002,133.0,3150.0,17500.0
Bahrain,2003,137.0,3220.0,18000.0
Bahrain,2004,132.0,3850.0,15200.0
Bahrain,2005,139.0,4240.0,16500.0
Bahrain,2006,150.0,4440.0,16300.0
Bahrain,2007,155.0,4620.0,19100.0
Bahrain,2008,149.0,4910.0,18400.0
Bahrain,2009,148.0,4970.0,18900.0
Bahrain,2010,150.0,5160.0,19100.0
Bahrain,2011,151.0,5190.0,19800.0
Bahrain,2012,153.0,5190.0,19800.0
Bangladesh,1970,8240.0,3350.0,106000.0
Bangladesh,1971,7980.0,3320.0,100000.0
Bangladesh,1972,8350.0,3520.0,102000.0
Bangladesh,1973,8430.0,4140.0,103000.0
Bangladesh,1974,8280.0,4370.0,102000.0
Bangladesh,1975,8890.0,5210.0,105000.0
Bangladesh,1976,9220.0,5590.0,102000.0
Bangladesh,1977,9770.0,5770.0,103000.0
Bangladesh,1978,10300.0,6180.0,105000.0
Bangladesh,1979,10800.0,6870.0,106000.0
Bangladesh,1980,9800.0,7710.0,100000.0
Bangladesh,1981,9770.0,7510.0,101000.0
Bangladesh,1982,10300.0,8170.0,102000.0
Bangladesh,1983,10600.0,7750.0,95700.0
Bangladesh,1984,11000.0,8110.0,98300.0
Bangladesh,1985,11200.0,9370.0,99600.0
Bangladesh,1986,11700.0,10400.0,101000.0
Bangladesh,1987,12100.0,11700.0,98600.0
Bangladesh,1988,12700.0,12300.0,98200.0
Bangladesh,1989,13600.0,13500.0,100000.0
Bangladesh,1990,13700.0,14200.0,99400.0
Bangladesh,1991,14500.0,13500.0,97900.0
Bangladesh,1992,14700.0,15100.0,98000.0
Bangladesh,1993,15000.0,15900.0,96400.0
Bangladesh,1994,15700.0,17200.0,96500.0
Bangladesh,1995,17000.0,21100.0,96700.0
Bangladesh,1996,17500.0,21400.0,97000.0
Bangladesh,1997,17000.0,23100.0,97400.0
Bangladesh,1998,17000.0,23600.0,95900.0
Bangladesh,1999,18200.0,25200.0,99100.0
Bangladesh,2000,18200.0,27200.0,99700.0
Bangladesh,2001,18800.0,31900.0,100000.0
Bangladesh,2002,19100.0,33600.0,103000.0
Bangladesh,2003,19500.0,35200.0,104000.0
Bangladesh,2004,20100.0,36200.0,102000.0
Bangladesh,2005,20400.0,39600.0,105000.0
Bangladesh,2006,20800.0,41900.0,107000.0
Bangladesh,2007,22000.0,45600.0,109000.0
Bangladesh,2008,21600.0,51600.0,114000.0
Bangladesh,2009,21500.0,55900.0,116000.0
Bangladesh,2010,22300.0,61000.0,118000.0
Bangladesh,2011,21600.0,61200.0,122000.0
Bangladesh,2012,21700.0,62300.0,120000.0
