Sector,Year,Emissions
Emissions.Sector.Transport,1984,3289.79
Emissions.Sector.Transport,1985,3338.0499999999997
Emissions.Sector.Transport,1986,3439.39
Emissions.Sector.Transport,1987,3568.0099999999998
Emissions.Sector.Transport,1988,3734.1
Emissions.Sector.Transport,1989,3844.88
Emissions.Sector.Transport,1990,3975.14
Emissions.Sector.Transport,1991,4012.34
Emissions.Sector.Transport,1992,4082.4
Emissions.Sector.Transport,1993,4131.41
Emissions.Sector.Transport,1994,4199.31
Emissions.Sector.Transport,1995,4306.64
Emissions.Sector.Transport,1996,4493.110000000001
Emissions.Sector.Transport,1997,4545.17
Emissions.Sector.Transport,1998,4641.63
Emissions.Sector.Transport,1999,4762.87
Emissions.Sector.Transport,2000,4908.45
Emissions.Sector.Transport,2001,4972.19
Emissions.Sector.Transport,2002,5073.11
Emissions.Sector.Transport,2003,5199.21
Emissions.Sector.Transport,2004,5395.64
Emissions.Sector.Transport,2005,5483.44
Emissions.Sector.Transport,2006,5576.13
Emissions.Sector.Transport,2007,5734.49
Emissions.Sector.Transport,2008,5736.25
Emissions.Sector.Transport,2009,5659.07
Emissions.Sector.Transport,2010,5874.3099999999995
Emissions.Sector.Transport,2011,5977.08
Emissions.Sector.Transport,2012,6160.7300000000005
